"id","name","type","size","path","maker_date"
16958,Văn bản Phường Xuân Hoà,FOLDER,-1,/Văn bản Phường Xuân Hoà,2026-06-18 18:03:35.680 +0700
17064,"1. Phòng Kinh Tế - Hạ Tầng và Đô Thị",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị,2026-06-19 10:55:40.979 +0700
16988,"1. Tổ Kỹ thuật",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/1. Tổ Kỹ thuật,2026-06-18 18:23:19.199 +0700
17161,"06.07.2026",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/1. Tổ Kỹ thuật/06.07.2026,2026-07-06 11:17:58.009 +0700
17182,"08/7/2026",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/1. Tổ Kỹ thuật/08/7/2026,2026-07-08 14:08:04.030 +0700
16996,"1. Văn bản chung",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/1. Tổ Kỹ thuật/1. Văn bản chung,2026-06-18 18:24:40.478 +0700
17002,HTKT,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/1. Tổ Kỹ thuật/1. Văn bản chung/HTKT,2026-06-18 18:39:30.733 +0700
17003,Môi trường,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/1. Tổ Kỹ thuật/1. Văn bản chung/Môi trường,2026-06-18 18:40:21.321 +0700
17004,Quy hoạch,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/1. Tổ Kỹ thuật/1. Văn bản chung/Quy hoạch,2026-06-18 18:40:53.094 +0700
17013,Phân loại biệt thự,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/1. Tổ Kỹ thuật/1. Văn bản chung/Quy hoạch/Phân loại biệt thự,2026-06-18 21:01:14.249 +0700
17014,Biệt thự cũ,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/1. Tổ Kỹ thuật/1. Văn bản chung/Quy hoạch/Phân loại biệt thự/Biệt thự cũ,2026-06-18 21:01:14.273 +0700
